"Contract","Realized PNL","Realized PNL %","Close Time","PNL Details"
"
XRP Perpetual/USDT
Long
Isolated","
2.30 USDT
≈ 2.3 USD","
+0.15%","
6/2/2025, 16:43:50","
Details"
"
DOGE Perpetual/USDT
Short
Isolated","
0.47 USDT
≈ 0.47 USD","
+0.15%","
6/2/2025, 16:19:05","
Details"
"
DOGE Perpetual/USDT
Short
Isolated","
9.30 USDT
≈ 9.3 USD","
+0.69%","
6/2/2025, 15:05:00","
Details"
"
XRP Perpetual/USDT
Long
Isolated","
-0.05 USDT
≈ 0.05 USD","
-0.01%","
6/2/2025, 10:50:27","
Details"
"
XRP Perpetual/USDT
Long
Isolated","
-0.04 USDT
≈ 0.04 USD","
-0.01%","
6/2/2025, 09:35:24","
Details"
