"Contract","Realized PNL","Realized PNL %","Close Time","PNL Details"
"
DOGE Perpetual/USDT
Short
Isolated","
1.87 USDT
≈ 1.87 USD","
+3.81%","
6/14/2025, 12:32:08","
Details"
"
DOGE Perpetual/USDT
Short
Isolated","
2.98 USDT
≈ 2.98 USD","
+2.34%","
6/14/2025, 05:32:29","
Details"
"
DOGE Perpetual/USDT
Short
Isolated","
0.03 USDT
≈ 0.03 USD","
+0.40%","
6/13/2025, 21:36:31","
Details"
"
DOGE Perpetual/USDT
Short
Isolated","
3.64 USDT
≈ 3.64 USD","
+2.47%","
6/13/2025, 20:23:36","
Details"
"
DOGE Perpetual/USDT
Short
Isolated","
1.58 USDT
≈ 1.58 USD","
+3.35%","
6/13/2025, 16:40:24","
Details"
"
DOGE Perpetual/USDT
Short
Isolated","
2.50 USDT
≈ 2.5 USD","
+2.47%","
6/13/2025, 15:26:58","
Details"
"
DOGE Perpetual/USDT
Short
Isolated","
0.09 USDT
≈ 0.09 USD","
+0.23%","
6/13/2025, 12:39:34","
Details"
"
DOGE Perpetual/USDT
Short
Isolated","
2.07 USDT
≈ 2.07 USD","
+0.84%","
6/13/2025, 10:49:47","
Details"
"
DOGE Perpetual/USDT
Short
Isolated","
15.68 USDT
≈ 15.68 USD","
+3.90%","
6/13/2025, 09:30:20","
Details"
"
DOGE Perpetual/USDT
Short
Isolated","
0.75 USDT
≈ 0.75 USD","
+0.26%","
6/12/2025, 19:05:13","
Details"
"
DOGE Perpetual/USDT
Short
Isolated","
1.17 USDT
≈ 1.17 USD","
+0.61%","
6/12/2025, 16:07:02","
Details"
"
DOGE Perpetual/USDT
Short
Isolated","
-10.61 USDT
≈ 10.61 USD","
-0.38%","
6/12/2025, 06:16:48","
Details"
"
XRP Perpetual/USDT
Long
Isolated","
-0.01 USDT
≈ 0.01 USD","
-0.03%","
6/11/2025, 15:32:29","
Details"
"
XRP Perpetual/USDT
Long
Isolated","
15.00 USDT
≈ 15 USD","
+3.42%","
6/11/2025, 13:47:33","
Details"
"
XRP Perpetual/USDT
Long
Isolated","
2.49 USDT
≈ 2.49 USD","
+0.57%","
6/11/2025, 06:13:24","
Details"
"
XRP Perpetual/USDT
Long
Isolated","
1.41 USDT
≈ 1.41 USD","
+0.60%","
6/11/2025, 02:20:08","
Details"
"
XRP Perpetual/USDT
Long
Isolated","
7.41 USDT
≈ 7.41 USD","
+0.80%","
6/10/2025, 21:56:25","
Details"
"
XRP Perpetual/USDT
Long
Isolated","
11.27 USDT
≈ 11.27 USD","
+0.81%","
6/10/2025, 15:32:00","
Details"
"
XRP Perpetual/USDT
Long
Isolated","
4.20 USDT
≈ 4.2 USD","
+0.76%","
6/10/2025, 03:11:12","
Details"
"
XRP Perpetual/USDT
Long
Isolated","
0.98 USDT
≈ 0.98 USD","
+0.21%","
6/9/2025, 16:51:15","
Details"
